name,price,image_url
Pull-On Seersucker Swim Trunk,$60,https://img.abercrombie.com/is/image/anf/KIC_133-4020-0064-402_model1?policy=product-medium
Jacquard Striped Button-Through Sweater Polo,$70,https://img.abercrombie.com/is/image/anf/KIC_120-4166-0222-104_model1?policy=product-medium
Baggy Workwear Pant,$100,https://img.abercrombie.com/is/image/anf/KIC_130-4077-00053-336_model1?policy=product-medium
Distressed Vintage-Inspired Tee,$35,https://img.abercrombie.com/is/image/anf/KIC_124-4188-0236-418_prod1?policy=product-medium
Guinness Graphic Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-4002-0119-303_prod1?policy=product-medium
Premium Heavyweight Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_124-4068-0105-410_prod1?policy=product-medium
Essential Popover Hoodie,$70,https://img.abercrombie.com/is/image/anf/KIC_122-3180-1425-412_prod1?policy=product-medium
90s Straight Jean,$90,https://img.abercrombie.com/is/image/anf/KIC_131-4120-0033-402_model1?policy=product-medium
Camp Collar Linen-Blend Textured Shirt,$60,https://img.abercrombie.com/is/image/anf/KIC_125-4022-0044-178_prod1?policy=product-medium
Pull-On Seersucker Swim Trunk,$60,https://img.abercrombie.com/is/image/anf/KIC_133-4084-0082-305_model1?policy=product-medium
Essential Ribbed Tank,$19,https://img.abercrombie.com/is/image/anf/KIC_124-3463-0025-100_life1?policy=product-medium
The A&F Collins Tailored Double-Breasted Linen-Blend Blazer,$180,https://img.abercrombie.com/is/image/anf/KIC_132-4033-0032-412_life1?policy=product-medium
The A&F Collins Tailored Linen-Blend Pleated Suit Pant,$100,https://img.abercrombie.com/is/image/anf/KIC_130-4045-0041-412_life1?policy=product-medium
Vintage-Inspired Tee,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4255-0240-118_prod1?policy=product-medium
Linen-Blend Plainfront Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4007-0070-412_model1?policy=product-medium
Essential Tee,$19,https://img.abercrombie.com/is/image/anf/KIC_124-4242-0215-220_prod1?policy=product-medium
Premium Heavyweight Cropped Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_124-4044-0127-100_model1?policy=product-medium
Relaxed Linen-Blend Pull-On Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4089-0094-100_life1?policy=product-medium
Linen-Blend Pull-On Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4025-0022-412_life1?policy=product-medium
Memorial Tournament Graphic Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-4227-00225-303_prod2?policy=product-medium
Pull-On Seersucker Swim Trunk,$60,https://img.abercrombie.com/is/image/anf/KIC_133-4050-0013-335_model1?policy=product-medium
Classic Polished Henley Tee,$25,https://img.abercrombie.com/is/image/anf/KIC_124-4216-0006-950_prod1?policy=product-medium
Premium Heavyweight Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_124-3845-0021-175_prod1?policy=product-medium
Short-Sleeve Cropped Workwear Button-Up Shirt,$70,https://img.abercrombie.com/is/image/anf/KIC_125-4247-00152-900_model1?policy=product-medium
The A&F Collins Tailored Classic Linen-Blend Blazer,$160,https://img.abercrombie.com/is/image/anf/KIC_132-4030-0029-412_life1?policy=product-medium
The A&F Collins Tailored Linen-Blend Suit Pant,$100,https://img.abercrombie.com/is/image/anf/KIC_130-4042-0037-412_life1?policy=product-medium
Classic Polished Tee,$19,https://img.abercrombie.com/is/image/anf/KIC_124-4523-00256-310_prod1?policy=product-medium
Essential Crew Sweatshirt,$70,https://img.abercrombie.com/is/image/anf/KIC_122-3236-0186-178_model1?policy=product-medium
Crochet-Style Button-Through Sweater Polo,$90,https://img.abercrombie.com/is/image/anf/KIC_120-4117-0202-100_model1?policy=product-medium
A&F All-Day Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4115-0074-333_prod1?policy=product-medium
Camp Collar Summer Linen-Blend Graphic Shirt,$60,https://img.abercrombie.com/is/image/anf/KIC_125-4284-0093-106_prod1?policy=product-medium
Essential Tee,$25,https://img.abercrombie.com/is/image/anf/KIC_124-4092-0158-608_model1?policy=product-medium
Baggy Workwear Pant,$90,https://img.abercrombie.com/is/image/anf/KIC_130-3091-1227-178_model1?policy=product-medium
Loose Workwear Pant,$90,https://img.abercrombie.com/is/image/anf/KIC_130-3090-1229-336_model1?policy=product-medium
Athletic Slim Jean,$80,https://img.abercrombie.com/is/image/anf/KIC_131-4032-0024-280_prod1?policy=product-medium
Baggy Workwear Jean,$100,https://img.abercrombie.com/is/image/anf/KIC_131-4040-0059-175_model1?policy=product-medium
Great Smoky Mountains Graphic Tee,$35,https://img.abercrombie.com/is/image/anf/KIC_123-4083-00140-100_prod1?policy=product-medium
Essential Popover Hoodie,$80,https://img.abercrombie.com/is/image/anf/KIC_122-4060-0155-418_prod1?policy=product-medium
Premium Heavyweight Cropped Tank,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4083-0188-200_model1?policy=product-medium
Camp Collar Linen-Blend Shirt,$60,https://img.abercrombie.com/is/image/anf/KIC_125-4023-0042-300_model1?policy=product-medium
Vintage-Inspired Cropped Tee,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4479-00294-338_life1?policy=product-medium
Vintage-Inspired Tee,$29,https://img.abercrombie.com/is/image/anf/KIC_124-3863-0085-100_model1?policy=product-medium
Camp Collar Linen-Blend Shirt,$60,https://img.abercrombie.com/is/image/anf/KIC_125-4017-0040-100_model1?policy=product-medium
Cable Stitch Johnny Collar Sweater Polo,$60,https://img.abercrombie.com/is/image/anf/KIC_120-4156-00239-900_prod1?policy=product-medium
Premium Heavyweight Cropped Tank,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4257-0006-175_model1?policy=product-medium
Olympics Graphic Crew Sweatshirt,$80,https://img.abercrombie.com/is/image/anf/KIC_122-4075-0217-112_prod1?policy=product-medium
Stitch Button-Through Sweater Polo,$70,https://img.abercrombie.com/is/image/anf/KIC_120-4105-0177-900_model1?policy=product-medium
Budweiser Graphic Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-3341-0150-903_prod1?policy=product-medium
Retro Mesh Short,$50,https://img.abercrombie.com/is/image/anf/KIC_128-4080-0012-306_model1?policy=product-medium
Camp Collar Textured Button-Up Shirt,$70,https://img.abercrombie.com/is/image/anf/KIC_125-4034-0050-900_model1?policy=product-medium
Olympics Graphic Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-4020-0069-303_prod1?policy=product-medium
Linen Button-Up Shirt,$80,https://img.abercrombie.com/is/image/anf/KIC_125-4003-0054-210_model1?policy=product-medium
A&F All-Day Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4011-0052-900_model1?policy=product-medium
A&F All-Day Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4032-0019-475_model1?policy=product-medium
Athletic Skinny Modern Chino,$70,https://img.abercrombie.com/is/image/anf/KIC_130-2605-1102-200_prod1?policy=product-medium
Olympics Graphic Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-3295-0148-100_prod1?policy=product-medium
Short-Sleeve Summer Linen-Blend Button-Up Shirt,$60,https://img.abercrombie.com/is/image/anf/KIC_125-4036-0051-178_model1?policy=product-medium
A&F All-Day Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4033-0053-233_model1?policy=product-medium
Camp Collar Summer Linen-Blend Embroidered Graphic Shirt,$80,https://img.abercrombie.com/is/image/anf/KIC_125-4019-0074-106_model1?policy=product-medium
Modelo Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Linen-Blend Textured Shirt,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Summer Linen-Blend Embroidered Shirt,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Vintage-Inspired Tee,$29,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Olympics Graphic Crew Sweatshirt,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Athletic Loose Workwear Pant,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Lightweight Loose Jean,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Short-Sleeve Summer Linen-Blend Button-Up Shirt,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Olympics Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Summer Linen-Blend Embroidered Shirt,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Olympics Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Red Bull Racing Vintage-Inspired Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Premium Heavyweight Cropped Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Plisse Johnny Collar Sweater Polo,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Pull-On Seersucker Swim Trunk,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Utility Loose Pant,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Athletic Slim Jean,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Premium Heavyweight Cropped Bronco Graphic Tee,$50,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
A&F Breezy Pant,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Pull-On Swim Trunk,$50,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Loose Denim Short,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Essential Sweatpant,$70,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Vintage-Inspired Cropped Tee,$29,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Linen Button-Up Shirt,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Short-Sleeve Cropped Workwear Graphic Button-Up Shirt,$70,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Lightweight Loose Jean,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Utility Loose Pant,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Premium Heavyweight Cropped Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Relaxed Linen-Blend Pull-On Short,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
A&F All-Day Short,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Athletic Slim Jean,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Camp Collar Waffle Button-Up Shirt,$70,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
